iter	Passed	Remaining
465	758	869
466	760	867
467	761	865
468	763	863
469	764	862
470	766	860
471	767	858
472	769	856
473	770	855
474	772	853
475	773	851
476	775	849
477	776	848
478	777	846
479	779	844
480	780	842
481	782	840
482	783	838
483	785	837
484	787	835
485	788	834
486	790	832
487	791	830
488	793	829
489	794	827
490	796	825
491	797	823
492	799	822
493	801	821
494	803	819
495	805	818
496	807	816
497	808	814
498	810	813
499	811	811
500	813	810
501	815	808
502	817	807
503	818	805
504	819	803
505	821	801
506	822	799
507	823	797
508	825	796
509	826	794
510	828	792
511	830	791
512	832	789
513	833	788
514	834	786
515	836	784
516	837	782
517	838	780
518	840	778
519	841	776
520	842	774
521	844	773
522	846	771
523	847	769
524	849	768
525	850	766
526	852	765
527	853	763
528	855	761
529	856	759
530	858	757
531	860	756
532	861	754
533	863	753
534	864	751
535	865	749
536	867	747
537	868	745
538	869	743
539	871	741
540	872	740
541	874	739
542	876	737
543	877	735
544	878	733
545	880	732
546	881	730
547	882	728
548	884	726
549	885	724
550	887	722
551	888	721
552	890	719
553	891	717
554	892	715
555	894	714
556	895	712
557	896	710
558	898	709
559	900	707
560	901	705
561	903	704
562	905	702
563	906	701
564	908	699
565	910	698
566	911	696
567	913	694
568	914	692
569	915	690
570	917	689
571	919	687
572	920	686
573	922	684
574	924	683
575	925	681
576	927	679
577	928	678
578	930	676
579	932	675
580	935	674
581	937	673
582	938	671
583	939	669
584	941	667
585	942	666
586	944	664
587	945	662
588	947	660
589	949	659
590	950	657
591	951	655
592	952	654
593	954	652
594	955	650
595	957	648
596	958	646
597	959	645
598	961	643
599	963	642
600	964	640
601	965	638
602	967	636
603	968	634
604	969	633
605	971	631
606	972	629
607	973	627
608	975	625
609	976	624
610	978	623
611	980	621
612	981	619
613	983	618
614	984	616
615	986	614
616	988	613
617	989	611
618	990	609
619	991	607
620	993	606
621	995	604
622	996	603
623	998	601
624	999	599
625	1001	598
626	1003	596
627	1004	594
628	1005	593
629	1007	591
630	1009	590
631	1010	588
632	1012	586
633	1013	585
634	1014	583
635	1016	581
636	1017	579
637	1018	577
638	1019	576
639	1021	574
640	1023	573
641	1024	571
642	1026	569
643	1027	568
644	1029	566
645	1030	564
646	1032	563
647	1033	561
648	1035	559
649	1037	558
650	1039	557
651	1041	555
652	1043	554
653	1044	552
654	1047	551
655	1049	550
656	1050	548
657	1053	547
658	1054	545
659	1055	543
660	1057	542
661	1059	540
662	1061	539
663	1062	537
664	1063	535
665	1065	534
666	1067	532
667	1069	531
668	1071	530
669	1072	528
670	1074	526
671	1077	525
672	1078	524
673	1080	522
674	1082	521
675	1084	519
676	1086	518
677	1088	516
678	1089	515
679	1091	513
680	1093	512
681	1094	510
682	1098	509
683	1099	508
684	1101	506
685	1103	504
686	1104	503
687	1105	501
688	1107	499
689	1108	498
690	1110	496
691	1111	494
692	1113	493
693	1115	491
694	1116	490
695	1118	488
696	1119	486
697	1121	485
698	1122	483
699	1124	481
700	1125	480
701	1127	478
702	1128	476
703	1130	475
704	1131	473
705	1133	471
706	1134	470
707	1136	468
708	1137	466
709	1139	465
710	1140	463
711	1142	462
712	1143	460
713	1145	458
714	1146	457
715	1148	455
716	1149	453
717	1151	452
718	1152	450
719	1154	448
720	1155	447
721	1157	445
722	1159	444
723	1160	442
724	1161	440
725	1163	439
726	1164	437
727	1166	435
728	1167	434
729	1169	432
730	1170	430
731	1172	429
732	1173	427
733	1175	425
734	1176	424
735	1178	422
736	1179	420
737	1181	419
738	1182	417
739	1183	415
740	1186	414
741	1187	412
742	1189	411
743	1190	409
744	1192	408
745	1193	406
746	1195	404
747	1196	403
748	1197	401
749	1199	399
750	1201	398
751	1202	396
752	1204	395
753	1206	393
754	1208	392
755	1209	390
756	1210	388
757	1212	387
758	1214	385
759	1216	384
760	1218	382
761	1219	380
762	1221	379
763	1222	377
764	1224	376
765	1225	374
766	1227	372
767	1229	371
768	1230	369
769	1232	368
770	1233	366
771	1235	364
772	1236	363
773	1238	361
774	1239	359
775	1241	358
776	1242	356
777	1243	354
778	1245	353
779	1247	351
780	1248	350
781	1249	348
782	1251	346
783	1252	345
784	1254	343
785	1255	341
786	1257	340
787	1258	338
788	1260	337
789	1262	335
790	1263	333
791	1264	332
792	1266	330
793	1268	328
794	1269	327
795	1271	325
796	1272	324
797	1274	322
798	1276	321
799	1277	319
800	1279	317
801	1280	316
802	1282	314
803	1283	312
804	1285	311
805	1286	309
806	1287	308
807	1289	306
808	1291	304
809	1292	303
810	1294	301
811	1297	300
812	1298	298
813	1300	297
814	1301	295
815	1303	293
816	1304	292
817	1306	290
818	1307	289
819	1309	287
820	1311	285
821	1312	284
822	1314	282
823	1315	281
824	1317	279
825	1318	277
826	1320	276
827	1322	274
828	1323	273
829	1325	271
830	1326	269
831	1328	268
832	1330	266
833	1331	265
834	1333	263
835	1335	261
836	1336	260
837	1338	258
838	1339	257
839	1341	255
840	1342	253
841	1344	252
842	1345	250
843	1347	249
844	1349	247
845	1351	245
846	1352	244
847	1354	242
848	1356	241
849	1357	239
850	1359	238
851	1361	236
852	1362	234
853	1364	233
854	1365	231
855	1367	230
856	1369	228
857	1370	226
858	1371	225
859	1373	223
860	1374	221
861	1376	220
862	1377	218
863	1379	217
864	1380	215
865	1382	213
866	1383	212
867	1385	210
868	1386	209
869	1387	207
870	1389	205
871	1390	204
872	1391	202
873	1393	200
874	1395	199
875	1396	197
876	1397	196
877	1399	194
878	1400	192
879	1401	191
880	1403	189
881	1404	187
882	1405	186
883	1407	184
884	1408	183
885	1410	181
886	1411	179
887	1413	178
888	1414	176
889	1415	174
890	1417	173
891	1418	171
892	1419	170
893	1421	168
894	1422	166
895	1424	165
896	1425	163
897	1426	162
898	1428	160
899	1429	158
900	1431	157
901	1432	155
902	1434	154
903	1435	152
904	1436	150
905	1438	149
906	1439	147
907	1441	146
908	1442	144
909	1443	142
910	1445	141
911	1446	139
912	1447	137
913	1449	136
914	1450	134
915	1451	133
916	1453	131
917	1454	129
918	1455	128
919	1457	126
920	1458	125
921	1459	123
922	1461	121
923	1462	120
924	1463	118
925	1465	117
926	1466	115
927	1467	113
928	1469	112
929	1470	110
930	1471	109
931	1473	107
932	1474	105
933	1476	104
934	1477	102
935	1478	101
936	1480	99
937	1481	97
938	1482	96
939	1484	94
940	1486	93
941	1487	91
942	1488	89
943	1490	88
944	1491	86
945	1493	85
946	1494	83
947	1495	82
948	1497	80
949	1498	78
950	1500	77
951	1501	75
952	1503	74
953	1504	72
954	1506	70
955	1507	69
956	1509	67
957	1510	66
958	1511	64
959	1513	63
960	1515	61
961	1516	59
962	1518	58
963	1519	56
964	1521	55
965	1522	53
966	1523	51
967	1525	50
968	1526	48
969	1527	47
970	1529	45
971	1530	44
972	1532	42
973	1533	40
974	1535	39
975	1536	37
976	1538	36
977	1539	34
978	1540	33
979	1542	31
980	1543	29
981	1545	28
982	1546	26
983	1548	25
984	1549	23
985	1550	22
986	1552	20
987	1553	18
988	1554	17
989	1556	15
990	1557	14
991	1559	12
992	1560	11
993	1562	9
994	1563	7
995	1565	6
996	1566	4
997	1567	3
998	1569	1
999	1570	0
